"AlarmName","ErrorCode","SrNo","Device","AlarmDescription","Message","Severity","AckRequired","PlcTag","Shortcut","PlcReference","TriggerTag","MappingStatus"
"ALM_E234","E234","87","Tray Feeding Conveyor","MPCB Tripped","E234 Tray Feeding Conveyor MPCB Tripped","500","true","FB_Drive02","Offline","[Offline]FB_Drive02","FB_Drive02.Alarm.E234","Mapped"
"ALM_E235","E235","88","Tray Feeding Conveyor","Drive Not Ready","E235 Tray Feeding Conveyor Drive Not Ready","500","true","FB_Drive02","Offline","[Offline]FB_Drive02","FB_Drive02.Alarm.E235","Mapped"
"ALM_E236","E236","89","Tray Feeding Conveyor","Drive  Faulted","E236 Tray Feeding Conveyor Drive  Faulted","500","true","FB_Drive02","Offline","[Offline]FB_Drive02","FB_Drive02.Alarm.E236","Mapped"
"ALM_E237","E237","90","Sealing Conveyor","MPCB Tripped","E237 Sealing Conveyor MPCB Tripped","500","true","FB_Drive03","Offline","[Offline]FB_Drive03","FB_Drive03.Alarm.E237","Mapped"
"ALM_E238","E238","91","Sealing Conveyor","Drive Not Ready","E238 Sealing Conveyor Drive Not Ready","500","true","FB_Drive03","Offline","[Offline]FB_Drive03","FB_Drive03.Alarm.E238","Mapped"
"ALM_E239","E239","92","Sealing Conveyor","Drive  Faulted","E239 Sealing Conveyor Drive  Faulted","500","true","FB_Drive03","Offline","[Offline]FB_Drive03","FB_Drive03.Alarm.E239","Mapped"
"ALM_E240","E240","93","Bowl Feeder Bowl Motor 01","MPCB Tripped","E240 Bowl Feeder Bowl Motor 01 MPCB Tripped","500","true","","","","","Unmapped"
"ALM_E241","E241","94","Bowl Feeder Linear Motor 01","MPCB Tripped","E241 Bowl Feeder Linear Motor 01 MPCB Tripped","500","true","","","","","Unmapped"
"ALM_E242","E242","95","Bowl Feeder Bowl Motor 02","MPCB Tripped","E242 Bowl Feeder Bowl Motor 02 MPCB Tripped","500","true","","","","","Unmapped"
"ALM_E243","E243","96","Bowl Feeder Linear Motor 02","MPCB Tripped","E243 Bowl Feeder Linear Motor 02 MPCB Tripped","500","true","","","","","Unmapped"
"ALM_E244","E244","97","Vacuum Pump","MPCB Tripped","E244 Vacuum Pump MPCB Tripped","500","true","FB_DOL03","Offline","[Offline]FB_DOL03","FB_DOL03.Alarm.E244","Mapped"
"ALM_E245","E245","98","Bag Sealer Vacuum Pump","MPCB Tripped","E245 Bag Sealer Vacuum Pump MPCB Tripped","500","true","FB_DOL04","Offline","[Offline]FB_DOL04","FB_DOL04.Alarm.E245","Mapped"
