"AlarmName","ErrorCode","Message","Severity","AckRequired","Trigger","Device"
"ALM_E304","E304","E304 Tray 02 Pusher UP FB Up Reedswitch Absent","500","true","FB_PV13.Alarm.E304","Tray 02 Pusher UP FB"
"ALM_E305","E305","E305 Tray 02 Pusher UP FB Down Reedswitch Absent","500","true","FB_PV13.Alarm.E305","Tray 02 Pusher UP FB"
"ALM_E306","E306","E306 Tray Insertion Servo Slide Pusher Both Reedswitch Present","500","true","FB_PV14.Alarm.E306","Tray Insertion Servo Slide Pusher"
"ALM_E307","E307","E307 Tray Insertion Servo Slide Pusher Both Reedswitch Absent","500","true","FB_PV14.Alarm.E307","Tray Insertion Servo Slide Pusher"
"ALM_E308","E308","E308 Tray Insertion Servo Slide Pusher Up Reedswitch Absent","500","true","FB_PV14.Alarm.E308","Tray Insertion Servo Slide Pusher"
"ALM_E309","E309","E309 Tray Insertion Servo Slide Pusher Down Reedswitch Absent","500","true","FB_PV14.Alarm.E309","Tray Insertion Servo Slide Pusher"
"ALM_E310","E310","E310 Tray Insertion Servo Tray Stopper Both Reedswitch Present","500","true","FB_PV15.Alarm.E310","Tray Insertion Servo Tray Stopper"
"ALM_E311","E311","E311 Tray Insertion Servo Tray Stopper Both Reedswitch Absent","500","true","FB_PV15.Alarm.E311","Tray Insertion Servo Tray Stopper"
"ALM_E312","E312","E312 Tray Insertion Servo Tray Stopper Up Reedswitch Absent","500","true","FB_PV15.Alarm.E312","Tray Insertion Servo Tray Stopper"
"ALM_E313","E313","E313 Tray Insertion Servo Tray Stopper Down Reedswitch Absent","500","true","FB_PV15.Alarm.E313","Tray Insertion Servo Tray Stopper"
"ALM_E314","E314","E314 Bag Opening Swing Arm 1 Both Reedswitch Present","500","true","","Bag Opening Swing Arm 1"
"ALM_E315","E315","E315 Bag Opening Swing Arm 1 Both Reedswitch Absent","500","true","","Bag Opening Swing Arm 1"
"ALM_E316","E316","E316 Bag Opening Swing Arm 1 In Reedswitch Absent","500","true","","Bag Opening Swing Arm 1"
"ALM_E317","E317","E317 Bag Opening Swing Arm 1 Out Reedswitch Absent","500","true","","Bag Opening Swing Arm 1"
"ALM_E318","E318","E318 Bag Opening Swing Arm 2 Both Reedswitch Present","500","true","","Bag Opening Swing Arm 2"
"ALM_E319","E319","E319 Bag Opening Swing Arm 2 Both Reedswitch Absent","500","true","","Bag Opening Swing Arm 2"
"ALM_E320","E320","E320 Bag Opening Swing Arm 2 In Reedswitch Absent","500","true","","Bag Opening Swing Arm 2"
"ALM_E321","E321","E321 Bag Opening Swing Arm 2 Out Reedswitch Absent","500","true","","Bag Opening Swing Arm 2"
"ALM_E322","E322","E322 Bag Opening Swing Arm Stretch Both Reedswitch Present","500","true","FB_PV17.Alarm.E322","Bag Opening Swing Arm Stretch"
"ALM_E323","E323","E323 Bag Opening Swing Arm Stretch Both Reedswitch Absent","500","true","FB_PV17.Alarm.E323","Bag Opening Swing Arm Stretch"
"ALM_E324","E324","E324 Bag Opening Swing Arm Stretch In Reedswitch Absent","500","true","FB_PV17.Alarm.E324","Bag Opening Swing Arm Stretch"
"ALM_E325","E325","E325 Bag Opening Swing Arm Stretch Out Reedswitch Absent","500","true","FB_PV17.Alarm.E325","Bag Opening Swing Arm Stretch"
"ALM_E326","E326","E326 Bag Opening Vacuum Cup Lifter Both Reedswitch Present","500","true","FB_PV18.Alarm.E326","Bag Opening Vacuum Cup Lifter"
"ALM_E327","E327","E327 Bag Opening Vacuum Cup Lifter Both Reedswitch Absent","500","true","FB_PV18.Alarm.E327","Bag Opening Vacuum Cup Lifter"
"ALM_E328","E328","E328 Bag Opening Vacuum Cup Lifter Up Reedswitch Absent","500","true","FB_PV18.Alarm.E328","Bag Opening Vacuum Cup Lifter"
"ALM_E329","E329","E329 Bag Opening Vacuum Cup Lifter Down Reedswitch Absent","500","true","FB_PV18.Alarm.E329","Bag Opening Vacuum Cup Lifter"
"ALM_E330","E330","E330 Tray Stacker Safety Cover Slide Both Reedswitch Present","500","true","FB_PV19.Alarm.E330","Tray Stacker Safety Cover Slide"
"ALM_E331","E331","E331 Tray Stacker Safety Cover Slide Both Reedswitch Absent","500","true","FB_PV19.Alarm.E331","Tray Stacker Safety Cover Slide"
"ALM_E332","E332","E332 Tray Stacker Safety Cover Slide Position 01 Reedswitch Absent","500","true","FB_PV19.Alarm.E332","Tray Stacker Safety Cover Slide"
"ALM_E333","E333","E333 Tray Stacker Safety Cover Slide Position 02 Reedswitch Absent","500","true","FB_PV19.Alarm.E333","Tray Stacker Safety Cover Slide"
"ALM_E334","E334","E334 Tray Stacker 01 Tray Centering Both Reedswitch Present","500","true","FB_PV20.Alarm.E334","Tray Stacker 01 Tray Centering"
"ALM_E335","E335","E335 Tray Stacker 01 Tray Centering Both Reedswitch Absent","500","true","FB_PV20.Alarm.E335","Tray Stacker 01 Tray Centering"
"ALM_E336","E336","E336 Tray Stacker 01 Tray Centering In Reedswitch Absent","500","true","FB_PV20.Alarm.E336","Tray Stacker 01 Tray Centering"
"ALM_E337","E337","E337 Tray Stacker 01 Tray Centering Out Reedswitch Absent","500","true","FB_PV20.Alarm.E337","Tray Stacker 01 Tray Centering"
"ALM_E338","E338","E338 Tray Stacker 01 Tray Referencing Both Reedswitch Present","500","true","FB_PV21.Alarm.E338","Tray Stacker 01 Tray Referencing"
"ALM_E339","E339","E339 Tray Stacker 01 Tray Referencing Both Reedswitch Absent","500","true","FB_PV21.Alarm.E339","Tray Stacker 01 Tray Referencing"
"ALM_E340","E340","E340 Tray Stacker 01 Tray Referencing Forward Reedswitch Absent","500","true","FB_PV21.Alarm.E340","Tray Stacker 01 Tray Referencing"
"ALM_E341","E341","E341 Tray Stacker 01 Tray Referencing Reverse Reedswitch Absent","500","true","FB_PV21.Alarm.E341","Tray Stacker 01 Tray Referencing"
"ALM_E342","E342","E342 Tray Stacker 02 Tray Centering Both Reedswitch Present","500","true","FB_PV22.Alarm.E342","Tray Stacker 02 Tray Centering"
"ALM_E343","E343","E343 Tray Stacker 02 Tray Centering Both Reedswitch Absent","500","true","FB_PV22.Alarm.E343","Tray Stacker 02 Tray Centering"
"ALM_E344","E344","E344 Tray Stacker 02 Tray Centering In Reedswitch Absent","500","true","FB_PV22.Alarm.E344","Tray Stacker 02 Tray Centering"
"ALM_E345","E345","E345 Tray Stacker 02 Tray Centering Out Reedswitch Absent","500","true","FB_PV22.Alarm.E345","Tray Stacker 02 Tray Centering"
"ALM_E346","E346","E346 Tray Stacker 02 Tray Referencing Both Reedswitch Present","500","true","FB_PV23.Alarm.E346","Tray Stacker 02 Tray Referencing"
"ALM_E347","E347","E347 Tray Stacker 02 Tray Referencing Both Reedswitch Absent","500","true","FB_PV23.Alarm.E347","Tray Stacker 02 Tray Referencing"
"ALM_E348","E348","E348 Tray Stacker 02 Tray Referencing Forward Reedswitch Absent","500","true","FB_PV23.Alarm.E348","Tray Stacker 02 Tray Referencing"
"ALM_E349","E349","E349 Tray Stacker 02 Tray Referencing Reverse Reedswitch Absent","500","true","FB_PV23.Alarm.E349","Tray Stacker 02 Tray Referencing"
"ALM_E350","E350","E350 Tray Transfer ROBOT Tray Lifter Both Reedswitch Present","500","true","FB_PV24.Alarm.E350","Tray Transfer ROBOT Tray Lifter"
"ALM_E351","E351","E351 Tray Transfer ROBOT Tray Lifter Both Reedswitch Absent","500","true","FB_PV24.Alarm.E351","Tray Transfer ROBOT Tray Lifter"
"ALM_E352","E352","E352 Tray Transfer ROBOT Tray Lifter Up Reedswitch Absent","500","true","FB_PV24.Alarm.E352","Tray Transfer ROBOT Tray Lifter"
"ALM_E353","E353","E353 Tray Transfer ROBOT Tray Lifter Down Reedswitch Absent","500","true","FB_PV24.Alarm.E353","Tray Transfer ROBOT Tray Lifter"
"ALM_E354","E354","E354 Tray Transfer ROBOT Tray Vacuum Cup Sapre","500","true","FB_PV25.Alarm.E354","Tray Transfer ROBOT Tray Vacuum Cup"
"ALM_E355","E355","E355 Tray Transfer ROBOT Tray Vacuum Cup Sapre","500","true","FB_PV25.Alarm.E355","Tray Transfer ROBOT Tray Vacuum Cup"
